CASE_ID,INTAKE_DATE,REDACTED_NOTE,NEED_TYPE,UNRESOLVED,METHOD
CS-2000,2026-09-02,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,TRUE,cortex
CS-2001,2026-09-05,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,TRUE,cortex
CS-2002,2026-09-02,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,TRUE,cortex
CS-2003,2026-09-01,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,TRUE,cortex
CS-2004,2026-09-03,"[NAME] ([EMAIL]) unsure of immigration paperwork deadlines, referred on 2 Sep.",legal,TRUE,cortex
CS-2005,2026-09-01,"[NAME] ([EMAIL]) unsure of immigration paperwork deadlines, referred on 4 Sep.",legal,TRUE,cortex
CS-2006,2026-09-01,[NAME] ([EMAIL]) waiting on a mental health referral since 1 Sep.,health,TRUE,cortex
CS-2007,2026-09-02,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,TRUE,cortex
CS-2008,2026-09-02,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,TRUE,cortex
CS-2009,2026-09-02,"[NAME] cannot afford meds this month, ref [REF]. GP at [ADDRESS]. Mobile [PHONE].",health,TRUE,cortex
CS-2010,2026-09-05,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,TRUE,cortex
CS-2011,2026-09-04,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,TRUE,cortex
CS-2012,2026-09-02,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,TRUE,cortex
CS-2013,2026-09-03,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF],housing,TRUE,cortex
CS-2014,2026-09-01,"[NAME] called, no food in the house since 1 Sep. Two kids. Phone [PHONE]. Lives at [ADDRESS].",food,TRUE,cortex
