# The published side of the boundary. Exported from CONSENT.APP.SAFE_CASES on the
# account this was built on. This is the pipeline's real output, not a mock: it is
# the only part of the data that was ever allowed to leave the warehouse.
# Source rows were synthetic. See data/synthetic_cases.csv.
case_id,intake_date,redacted_note,need_type,unresolved
CS-2000,2026-09-02,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2001,2026-09-05,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2002,2026-09-02,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2003,2026-09-01,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2004,2026-09-03,"[NAME] ([EMAIL]) unsure of immigration paperwork deadlines, referred on 2 Sep.",legal,true
CS-2005,2026-09-01,"[NAME] ([EMAIL]) unsure of immigration paperwork deadlines, referred on 4 Sep.",legal,true
CS-2006,2026-09-01,[NAME] ([EMAIL]) waiting on a mental health referral since 1 Sep.,health,true
CS-2007,2026-09-02,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2008,2026-09-02,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2009,2026-09-02,"[NAME] cannot afford meds this month, ref [REF]. GP at [ADDRESS]. Mobile [PHONE].",health,true
CS-2010,2026-09-05,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,true
CS-2011,2026-09-04,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,true
CS-2012,2026-09-02,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2013,2026-09-03,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF],housing,true
CS-2014,2026-09-01,"[NAME] called, no food in the house since 1 Sep. Two kids. Phone [PHONE]. Lives at [ADDRESS].",food,true
CS-2015,2026-09-04,Damp in the flat at [ADDRESS] making [NAME]'s asthma worse. Landlord not responding.,health,true
CS-2016,2026-09-02,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,true
CS-2017,2026-09-04,"[NAME] cannot afford meds this month, ref [REF]. GP at [ADDRESS]. Mobile [PHONE].",health,true
CS-2018,2026-09-05,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2019,2026-09-03,"[NAME] missed a hospital appointment, no bus fare. Phone [PHONE]. Resolved after travel voucher.",health,false
CS-2020,2026-09-01,Damp in the flat at [ADDRESS] making [NAME]'s asthma worse. Landlord not responding.,health,true
CS-2021,2026-09-04,"[NAME] missed a hospital appointment, no bus fare. Phone [PHONE]. Resolved after travel voucher.",health,false
CS-2022,2026-09-02,Damp in the flat at [ADDRESS] making [NAME]'s asthma worse. Landlord not responding.,health,true
CS-2023,2026-09-02,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2024,2026-09-01,Doorstep visit to [ADDRESS] [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2025,2026-09-05,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF].,housing,true
CS-2026,2026-09-04,[NAME] ([EMAIL]) waiting on a mental health referral since 1 Sep,health,true
CS-2027,2026-09-04,Doorstep visit to [ADDRESS] [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2028,2026-09-01,"[NAME] ([EMAIL]) unsure of immigration paperwork deadlines, referred on 1 Sep.",legal,true
CS-2029,2026-09-04,"[NAME] missed a hospital appointment, no bus fare. Phone [PHONE]. Resolved after travel voucher.",health,false
CS-2030,2026-09-01,[NAME] ([EMAIL]) needs a food parcel this week; benefits delayed again. Ref [REF].,food,true
CS-2031,2026-09-01,"[NAME] sofa-surfing since 4 Sep, no fixed address. Email [EMAIL]. Case ref [REF].",housing,true
CS-2032,2026-09-03,"[NAME] cannot afford meds this month, ref [REF]. GP at [ADDRESS]. Mobile [PHONE].",health,true
CS-2033,2026-09-04,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2034,2026-09-02,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,true
CS-2035,2026-09-04,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
